Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,150.990005,155.750000,150.880005,154.880005,150.242935,58576700
2019-01-03,152.600006,153.259995,149.490005,149.820007,145.334427,74820200
2019-01-04,152.339996,157.000000,151.740005,156.229996,151.552490,74709300
2019-01-07,156.619995,158.860001,156.110001,158.089996,153.356857,52059300
2019-01-08,159.539993,160.110001,157.199997,159.520004,154.743988,49388700
2019-01-09,160.139999,161.520004,159.470001,160.820007,156.005066,46491700
2019-01-10,159.600006,161.369995,158.699997,161.279999,156.451294,38943400
2019-01-11,160.330002,160.860001,159.789993,160.690002,155.878952,30176600
2019-01-14,159.330002,159.960007,158.589996,159.270004,154.501495,30710200
2019-01-15,160.000000,162.600006,159.910004,162.380005,157.518387,40874200
2019-01-16,162.649994,163.779999,162.289993,162.350006,157.489288,33812200
2019-01-17,161.830002,164.360001,161.570007,163.630005,158.730942,39329000
2019-01-18,164.779999,166.020004,163.820007,165.250000,160.302475,57183200
2019-01-22,164.059998,164.139999,160.759995,161.940002,157.091537,56711700
2019-01-23,162.770004,163.509995,160.320007,162.149994,157.295227,38106100
2019-01-24,162.679993,163.440002,162.059998,163.199997,158.313828,32417800
2019-01-25,164.509995,165.649994,163.949997,165.149994,160.205444,36515900
2019-01-28,163.020004,163.119995,161.750000,163.110001,158.226532,33491200
2019-01-29,163.199997,163.240005,160.990005,161.570007,156.732651,30784200
2019-01-30,163.399994,166.279999,162.889999,165.679993,160.719589,41346500
2019-01-31,166.699997,168.990005,166.470001,168.160004,163.125336,37258400
2019-02-01,167.330002,168.600006,166.990005,167.449997,162.436569,32143700
2019-02-04,167.479996,169.529999,167.330002,169.529999,164.454285,26718800
2019-02-05,169.759995,171.229996,169.690002,171.029999,165.909393,28156400
2019-02-06,171.070007,171.369995,169.750000,170.520004,165.414658,27970000
2019-02-07,169.029999,169.449997,166.949997,168.229996,163.193222,42036200
2019-02-08,166.759995,168.589996,166.570007,168.559998,163.513382,29020700
2019-02-11,169.169998,169.580002,167.979996,168.399994,163.358170,21434100
2019-02-12,169.630005,171.139999,169.330002,170.889999,165.773605,29722100
2019-02-13,171.649994,172.160004,170.820007,171.009995,165.889984,26094100
2019-02-14,170.399994,171.830002,169.830002,171.220001,166.093735,30326800
2019-02-15,172.520004,172.559998,171.139999,171.940002,166.792160,32521700
2019-02-19,171.410004,172.800003,171.380005,172.279999,167.121933,19487700
2019-02-20,172.399994,173.080002,171.320007,172.250000,167.092850,32593000
2019-02-21,171.789993,172.259995,170.710007,171.619995,166.481750,25207400
2019-02-22,171.990005,173.009995,171.899994,172.889999,167.713715,27735400
2019-02-25,174.210007,174.660004,173.399994,173.520004,168.324844,32608800
2019-02-26,173.100006,174.250000,172.809998,173.699997,168.499451,21939700
2019-02-27,172.899994,173.800003,171.759995,173.589996,168.392731,25162000
2019-02-28,173.050003,173.809998,172.699997,173.190002,168.004761,25085500
2019-03-01,174.440002,174.649994,173.179993,174.389999,169.168793,31431200
2019-03-04,175.539993,175.789993,172.470001,174.419998,169.197922,38063500
2019-03-05,174.550003,175.089996,173.690002,174.550003,169.324036,22319900
2019-03-06,174.720001,174.750000,173.279999,173.559998,168.363617,27194600
2019-03-07,173.119995,173.179993,170.789993,171.429993,166.297424,39407400
2019-03-08,169.509995,171.259995,169.339996,171.169998,166.045212,39303200
2019-03-11,171.880005,174.850006,171.850006,174.729996,169.498596,30518400
2019-03-12,175.190002,176.139999,174.770004,175.690002,170.429886,33953500
2019-03-13,176.600006,177.929993,176.350006,177.009995,171.710373,42426100
2019-03-14,177.130005,177.339996,176.660004,176.710007,171.419357,23751500
2019-03-15,177.399994,178.880005,177.279999,178.350006,173.010223,38192000
2019-03-18,177.949997,178.990005,177.589996,178.449997,173.422302,32935100
2019-03-19,179.179993,180.000000,178.289993,179.050003,174.005402,36893300
2019-03-20,179.059998,180.860001,178.240005,179.759995,174.695389,50105000
2019-03-21,179.220001,182.830002,179.199997,182.570007,177.426208,42428500
2019-03-22,181.779999,182.270004,178.369995,178.559998,173.529160,70794500
2019-03-25,177.910004,178.839996,176.929993,178.220001,173.198776,46336500
2019-03-26,179.600006,180.690002,178.139999,179.050003,174.005402,33248100
2019-03-27,179.320007,179.720001,176.600006,177.899994,172.887802,37096700
2019-03-28,178.360001,178.979996,177.240005,178.309998,173.286209,30368200
2019-03-29,179.690002,179.830002,178.589996,179.660004,174.598206,35205500
2019-04-01,181.509995,182.259995,180.770004,182.039993,176.911133,30969500
2019-04-02,182.240005,182.910004,181.779999,182.729996,177.581711,22645200
2019-04-03,183.759995,184.919998,183.210007,183.779999,178.602097,31633500
2019-04-04,183.830002,184.500000,182.649994,183.710007,178.534073,28530800
2019-04-05,184.240005,184.770004,184.020004,184.660004,179.457321,25674700
2019-04-08,184.360001,185.279999,183.630005,185.130005,179.914078,22697500
2019-04-09,184.500000,185.110001,184.089996,184.479996,179.282394,25631900
2019-04-10,184.720001,185.529999,184.520004,185.470001,180.244492,24563000
2019-04-11,185.779999,185.779999,184.690002,185.029999,179.816910,20654100
2019-04-12,185.850006,185.949997,185.059998,185.830002,180.594391,24989100
2019-04-15,185.839996,186.070007,184.619995,185.860001,180.623535,21073000
2019-04-16,186.539993,186.910004,185.929993,186.500000,181.245483,27195700
2019-04-17,187.750000,187.929993,186.600006,187.149994,181.877182,29651600
2019-04-18,187.460007,187.789993,186.289993,187.389999,182.110443,28580900
2019-04-22,186.570007,187.990005,186.429993,187.919998,182.625443,17936000
2019-04-23,188.399994,190.539993,188.130005,190.309998,184.948135,33665600
2019-04-24,190.470001,190.710007,189.649994,189.710007,184.365067,24977100
2019-04-25,191.130005,191.220001,189.449997,190.479996,185.113358,29517500
2019-04-26,190.179993,190.690002,188.589996,190.649994,185.278534,26359500
2019-04-29,190.649994,191.320007,190.339996,191.020004,185.638123,21716200
2019-04-30,189.479996,189.850006,188.210007,189.539993,184.199844,31495300
2019-05-01,190.779999,191.320007,188.800003,188.929993,183.607040,34797100
2019-05-02,188.869995,189.850006,186.869995,188.110001,182.810104,44110100
2019-05-03,189.669998,191.250000,189.330002,191.110001,185.725571,30386200
2019-05-06,187.050003,190.199997,186.759995,189.940002,184.588547,38371800
2019-05-07,187.869995,188.669998,184.509995,186.240005,180.992813,58818100
2019-05-08,185.630005,187.169998,184.960007,185.770004,180.536087,37165300
2019-05-09,183.699997,185.410004,182.089996,184.770004,179.564240,55351700
2019-05-10,184.110001,185.889999,181.029999,185.000000,179.787766,58526400
2019-05-13,180.289993,181.259995,178.059998,178.580002,173.548645,67185800
2019-05-14,179.520004,181.630005,178.860001,180.539993,175.453384,43360600
2019-05-15,179.350006,183.550003,179.309998,183.089996,177.931549,40944500
